NAME,CITY,STATE,ZIP,LAT,LON,CBSA,NMCBSA
Arkansas Beauty College,Russellville,AR,72801,35.27902,-93.135369,40780,"Russellville, AR"
Lyon College,Batesville,AR,72501,35.777619,-91.625354,12900,"Batesville, AR"
Arkansas College of Barbering and Hair Design,North Little Rock,AR,72114,34.753843,-92.266429,30780,"Little Rock-North Little Rock-Conway, AR"
Arkansas College of Barbering and Hair Design,Little Rock,AR,722054949,34.760221,-92.375875,30780,"Little Rock-North Little Rock-Conway, AR"
Arthur's Beauty College,Fort Smith,AR,72901-3342,35.379955,-94.410967,22900,"Fort Smith, AR-OK"
Hot Springs Beauty College,Hot Springs,AR,71901,34.496057,-93.037277,26300,"Hot Springs, AR"
Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,71603,34.187831,-92.018045,38220,"Pine Bluff, AR"
John Brown University,Siloam Springs,AR,72761,36.189812,-94.560283,22220,"Fayetteville-Springdale-Rogers, AR"
Mission College,Santa Clara,CA,95054-1897,37.391935,-121.980783,41940,"San Jose-Sunnyvale-Santa Clara, CA"
University of Colorado Colorado Springs,Colorado Springs,CO,80918,38.892735,-104.800296,17820,"Colorado Springs, CO"
Michigan Career and Technical Institute,Plainwell,MI,49080-9254,42.504599,-85.517049,N,N
Finlandia University,Hancock,MI,49930-1832,47.127868,-88.588756,26340,"Houghton, MI"
Western Michigan University-Thomas M. Cooley Law School,Lansing,MI,48933,42.731,-84.554429,29620,"Lansing-East Lansing, MI"
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,65248-1198,39.150497,-92.685253,17860,"Columbia, MO"
University of Central Missouri,Warrensburg,MO,64093,38.759111,-93.737428,47660,"Warrensburg, MO"
Grand River Technical School,Chillicothe,MO,64601,39.798864,-93.559669,N,N
Cleveland University-Kansas City,Overland Park,KS,66210,38.932019,-94.679076,28140,"Kansas City, MO-KS"
Columbia College,Columbia,MO,65216,38.957388,-92.326354,17860,"Columbia, MO"
Conception Seminary College,Conception,MO,64433-0502,40.24044,-94.682831,32340,"Maryville, MO"
Yellowstone Christian College,Billings,MT,59106-3303,45.742342,-108.616865,13740,"Billings, MT"
Bellevue University,Bellevue,NE,68005-3098,41.150225,-95.91764,36540,"Omaha-Council Bluffs, NE-IA"
Clarkson College,Omaha,NE,68131-2739,41.259165,-95.974847,36540,"Omaha-Council Bluffs, NE-IA"
Bryan College of Health Sciences,Lincoln,NE,68506,40.796768,-96.651532,30700,"Lincoln, NE"
Central Community College,Grand Island,NE,68802-4903,40.889582,-98.372549,24260,"Grand Island, NE"
Chadron State College,Chadron,NE,69337-2690,42.8199,-103.001615,N,N
Sierra Nevada University,Incline Village,NV,89451,39.244278,-119.939125,39900,"Reno, NV"
Truckee Meadows Community College,Reno,NV,89512-3999,39.571402,-119.796975,39900,"Reno, NV"
Nevada System of Higher Education-System Office,Reno,NV,89512,39.551272,-119.812301,39900,"Reno, NV"
Western Nevada College,Carson City,NV,89703-7399,39.186158,-119.79036,16180,"Carson City, NV"
Colby-Sawyer College,New London,NH,03257-7835,43.411663,-71.975805,18180,"Concord, NH"
Thomas More College of Liberal Arts,Merrimack,NH,03054,42.80683,-71.48437,31700,"Manchester-Nashua, NH"
